Process,Cost_Function,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PTAP-1_P1,1,25339.72711,8740.290506,10035.4301,11614.6054,13130.25099,14140.4082,14817.35713,15317.861,15729.26136,16097.71961,16447.25914,16790.31762,17133.34178,17479.69919,17831.18003,18188.76826,18553.03677,18924.34961,19302.96548,19689.09067,20082.90617,20484.58151,20894.28194,21312.17208,21738.41782,22173.18735,22616.6517,23068.98504,23530.3649,23996.1812
PTAP-1_P1,2,1664.584176,574.1557201,659.2343348,762.971451,862.5352562,928.8931816,973.3624241,1017.831667,1062.300909,1106.770151,1151.239394,1195.708636,1240.177879,1284.647121,1329.116364,1373.585606,1418.054849,1462.524091,1506.993334,1551.462576,1595.931819,1640.401061,1684.870303,1729.339546,1773.808788,1818.278031,1862.747273,1907.216516,1951.685758,1996.155001
PTAP-1_P2,1,217.6313021,75.06634919,86.18970957,99.75252245,112.7697077,121.445485,127.2594891,131.5580875,135.0914166,138.2559356,141.2579704,144.2043424,147.1504197,150.1251248,153.1438327,156.2149941,159.3435293,162.5325651,165.7843233,169.1005756,172.4828764,175.9326818,179.451411,183.0404779,186.7013072,190.4353435,194.2440555,198.1289393,202.0915194,206.0922021
PTAP-1_P3,1,585.4708755,201.9431982,231.8672187,268.3538447,303.3726254,326.7121676,342.3529785,353.917051,363.4223992,371.9355757,380.0116381,387.9379565,395.8634821,403.866022,411.986938,420.2489645,428.6653377,437.2444693,445.9923364,454.9137054,464.0127577,473.2934107,482.7594823,492.4147759,502.2631245,512.3084142,522.5545964,533.0056954,543.6658129,554.4284339
PTAP-1_P5,1,1556.703902,536.9451801,616.5099226,713.5239253,806.6350856,868.6924107,910.2796397,941.0272609,966.3009564,988.9365745,1010.409953,1031.485179,1052.558297,1073.836187,1095.428826,1117.396664,1139.774892,1162.585878,1185.845513,1209.56647,1233.759869,1258.436124,1283.605387,1309.277771,1335.463468,1362.17281,1389.416303,1417.204648,1445.54875,1474.165399
PTAP-1_P6,1,245.1808646,84.56886586,97.10031281,112.3800182,127.045026,136.8190547,143.3690432,148.2117936,152.1924006,155.7575105,159.1395676,162.4589157,165.7779317,169.1291994,172.5300402,175.9899745,179.5145455,183.1072757,186.7706682,190.5067191,194.3171794,198.2036895,202.1678485,206.211249,210.3354962,214.5422175,218.8330677,223.209732,227.6739282,232.1810503
PTAP-1_P7,1,52.5387567,18.12189983,20.80720989,24.08143248,27.22393414,29.31836886,30.72193784,31.75967005,32.61265728,33.37660939,34.10133592,34.81262479,35.52384251,36.24197131,36.97072289,37.71213739,38.46740261,39.23727337,40.02228605,40.82286837,41.63939558,42.47221919,43.32168182,44.18812479,45.07189205,45.97333233,46.89280022,47.83065686,48.78727033,49.7530822
PTAP-1_P8,1,57.15305064,37.79356865,39.30405556,41.14580577,42.91346295,44.09158248,44.88109003,45.46481441,45.94461972,46.37434278,46.78200146,47.18210144,47.58216141,47.98610886,48.39603163,48.81307728,49.23791397,49.67096627,50.1125359,50.56286346,51.02216001,51.49062329,51.96844602,52.45582019,52.95293928,53.45999944,53.97720013,54.50474449,55.04283956,55.58610874
PTAP-1_P13,1,22332.47418,7703.015553,8844.45135,10236.21423,11571.98694,12462.26132,13058.87171,13499.97708,13862.55352,14187.2841,14495.34119,14797.68638,15100.00132,15405.25394,15715.02194,16030.17254,16351.2106,16678.457,17012.13972,17352.44058,17699.51908,18053.52464,18414.60289,18782.89891,19158.55891,19541.73113,19932.56628,20331.21788,20737.84237,21148.37681
PTAP-2_P1,1,25339.72711,8740.290506,10035.4301,11614.6054,13130.25099,14140.4082,14817.35713,15317.861,15729.26136,16097.71961,16447.25914,16790.31762,17133.34178,17479.69919,17831.18003,18188.76826,18553.03677,18924.34961,19302.96548,19689.09067,20082.90617,20484.58151,20894.28194,21312.17208,21738.41782,22173.18735,22616.6517,23068.98504,23530.3649,23996.1812
PTAP-2_P1,2,1664.584176,574.1557201,659.2343348,762.971451,862.5352562,928.8931816,973.3624241,1017.831667,1062.300909,1106.770151,1151.239394,1195.708636,1240.177879,1284.647121,1329.116364,1373.585606,1418.054849,1462.524091,1506.993334,1551.462576,1595.931819,1640.401061,1684.870303,1729.339546,1773.808788,1818.278031,1862.747273,1907.216516,1951.685758,1996.155001
PTAP-2_P2,1,217.6313021,75.06634919,86.18970957,99.75252245,112.7697077,121.445485,127.2594891,131.5580875,135.0914166,138.2559356,141.2579704,144.2043424,147.1504197,150.1251248,153.1438327,156.2149941,159.3435293,162.5325651,165.7843233,169.1005756,172.4828764,175.9326818,179.451411,183.0404779,186.7013072,190.4353435,194.2440555,198.1289393,202.0915194,206.0922021
PTAP-2_P3,1,585.4708755,201.9431982,231.8672187,268.3538447,303.3726254,326.7121676,342.3529785,353.917051,363.4223992,371.9355757,380.0116381,387.9379565,395.8634821,403.866022,411.986938,420.2489645,428.6653377,437.2444693,445.9923364,454.9137054,464.0127577,473.2934107,482.7594823,492.4147759,502.2631245,512.3084142,522.5545964,533.0056954,543.6658129,554.4284339
PTAP-2_P5,1,1556.703902,536.9451801,616.5099226,713.5239253,806.6350856,868.6924107,910.2796397,941.0272609,966.3009564,988.9365745,1010.409953,1031.485179,1052.558297,1073.836187,1095.428826,1117.396664,1139.774892,1162.585878,1185.845513,1209.56647,1233.759869,1258.436124,1283.605387,1309.277771,1335.463468,1362.17281,1389.416303,1417.204648,1445.54875,1474.165399
PTAP-2_P6,1,245.1808646,84.56886586,97.10031281,112.3800182,127.045026,136.8190547,143.3690432,148.2117936,152.1924006,155.7575105,159.1395676,162.4589157,165.7779317,169.1291994,172.5300402,175.9899745,179.5145455,183.1072757,186.7706682,190.5067191,194.3171794,198.2036895,202.1678485,206.211249,210.3354962,214.5422175,218.8330677,223.209732,227.6739282,232.1810503
PTAP-2_P7,1,52.5387567,18.12189983,20.80720989,24.08143248,27.22393414,29.31836886,30.72193784,31.75967005,32.61265728,33.37660939,34.10133592,34.81262479,35.52384251,36.24197131,36.97072289,37.71213739,38.46740261,39.23727337,40.02228605,40.82286837,41.63939558,42.47221919,43.32168182,44.18812479,45.07189205,45.97333233,46.89280022,47.83065686,48.78727033,49.7530822
PTAP-2_P8,1,57.15305064,37.79356865,39.30405556,41.14580577,42.91346295,44.09158248,44.88109003,45.46481441,45.94461972,46.37434278,46.78200146,47.18210144,47.58216141,47.98610886,48.39603163,48.81307728,49.23791397,49.67096627,50.1125359,50.56286346,51.02216001,51.49062329,51.96844602,52.45582019,52.95293928,53.45999944,53.97720013,54.50474449,55.04283956,55.58610874
PTAP-2_P13,1,22332.47418,7703.015553,8844.45135,10236.21423,11571.98694,12462.26132,13058.87171,13499.97708,13862.55352,14187.2841,14495.34119,14797.68638,15100.00132,15405.25394,15715.02194,16030.17254,16351.2106,16678.457,17012.13972,17352.44058,17699.51908,18053.52464,18414.60289,18782.89891,19158.55891,19541.73113,19932.56628,20331.21788,20737.84237,21148.37681
